"initial_token","order_id","order_delivery_id","store_location_code","store_zip_code","transaction_date_pt","transaction_date_time_pt","transaction_amt","approval_code","stan"
"","7486280943535988","7486280943335798","18","10451","2022-05-16","2022-05-16 05:03:52","61.51","709346","226981"
"","7486239919532429","7486239919232674","27","10473","2022-05-16","2022-05-16 05:04:04","83.32","626023","228014"
"","7486300918530436","7486300918330476","75","11231","2022-05-16","2022-05-16 05:04:24","45.24","538497","217227"
"","7482008695731811","7482008695331678","47","07022","2022-05-16","2022-05-16 05:04:33","96.52","928304","227180"
"","7486486944134754","7486486943834102","25","11212","2022-05-16","2022-05-16 05:04:39","20.65","599428","228486"
"","7486206349831549","7486206349531016","11","11237","2022-05-16","2022-05-16 05:05:25","55.83","095220","210337"
"","7462875372632866","7462875372332765","41","11101","2022-05-16","2022-05-16 05:05:27","131.63","510486","218260"
"","7485742270232870","7485742269932091","48","11717","2022-05-16","2022-05-16 05:06:08","91.96","168863","229992"
"","7483715524032323","7483715523832468","43","06610","2022-05-16","2022-05-16 05:06:09","80.78","468796","219301"
"","7481430355735435","7481430355335369","30","10456","2022-05-16","2022-05-16 05:06:13","159.35","236063","216736"
"","7483641470135396","7483641469935106","48","11717","2022-05-16","2022-05-16 05:07:07","33.05","021362","230284"
"","7482592579735352","7482592579335853","47","07022","2022-05-16","2022-05-16 05:07:45","73.47","431523","227723"
"","7483350949532694","7483350949232785","43","06610","2022-05-16","2022-05-16 05:07:51","123.27","408881","220335"
"","7483330291730092","7483330291430945","11","11237","2022-05-16","2022-05-16 05:08:14","138.32","852100","210820"
"","7481878733833337","7481878733333417","13","11368","2022-05-16","2022-05-16 05:08:23","38.17","322438","220776"
"","7483750386530088","7483750386330020","41","11101","2022-05-16","2022-05-16 05:08:36","31.55","775230","219323"
"","7481785894630585","7481785894330917","30","10456","2022-05-16","2022-05-16 05:08:49","136.29","621549","217017"
"","7486305158932839","7486305158732089","42","10451","2022-05-16","2022-05-16 05:09:40","61.76","473947","210277"
"","7472168431330750","7472168430930452","22","11206","2022-05-16","2022-05-16 05:10:21","52.88","023790","229565"
"","7486013255433969","7486013255133661","41","11101","2022-05-16","2022-05-16 05:10:34","56.57","794740","220078"
"","7484023823130296","7484023822830249","30","10456","2022-05-16","2022-05-16 05:10:41","155.00","082025","217269"
"","7486242943730082","7486242943530114","13","11368","2022-05-16","2022-05-16 05:10:59","71.30","426712","222122"
"","7486287039531028","7486287039131502","72","10451","2022-05-16","2022-05-16 05:11:25","34.80","410907","211061"
"","7486338439235341","7486338438935160","42","10451","2022-05-16","2022-05-16 05:11:33","71.19","041901","211086"
"","7482931850235665","7482931850035265","78","11590","2022-05-16","2022-05-16 05:11:44","56.53","840159","211332"
"","7481974212633118","7481974212233260","27","10473","2022-05-16","2022-05-16 05:11:53","232.02","023869","229488"
"","7486463015135259","7486463014835096","42","10451","2022-05-16","2022-05-16 05:12:06","72.73","613287","211353"
"","7485774387330489","7485774386930491","30","10456","2022-05-16","2022-05-16 05:12:30","71.05","417955","217524"
"","7486168157033574","7486168156833278","22","11206","2022-05-16","2022-05-16 05:12:55","60.15","432126","230057"
"","7483082942532989","7483082942232043","40","10550","2022-05-16","2022-05-16 05:14:18","104.76","331193","218557"
"","7486386781832396","7486386781632659","42","10451","2022-05-16","2022-05-16 05:14:30","72.91","322151","212411"
"","7484199645435649","7484199638135402","22","11206","2022-05-16","2022-05-16 05:14:37","39.28","626974","230499"
"","7486444894031157","7486444893831650","42","10451","2022-05-16","2022-05-16 05:15:05","31.36","768665","212842"
"","7483682582234621","7483682581934828","46","07202","2022-05-16","2022-05-16 05:15:44","39.18","453171","230577"
"","7486359005432200","7486359005132459","30","10456","2022-05-16","2022-05-16 05:15:45","75.80","869005","218015"
"","7457714945933172","7457714945733420","22","11206","2022-05-16","2022-05-16 05:16:51","278.39","414809","230825"
"","7483569623234874","7483569623034069","41","11101","2022-05-16","2022-05-16 05:17:00","197.65","604021","222391"
"","7486377900432335","7486377900132595","41","11101","2022-05-16","2022-05-16 05:17:54","45.89","904582","222839"
"","7482104400035532","7482104399635841","40","10550","2022-05-16","2022-05-16 05:18:04","214.84","713496","219273"
"","7482615094033946","7482615093733361","25","11212","2022-05-16","2022-05-16 05:18:59","141.75","494149","231318"
"","7484488562534439","7484488562234697","25","11212","2022-05-16","2022-05-16 05:20:20","56.32","437532","231585"
"","7485987375433888","7485987375233579","41","11101","2022-05-16","2022-05-16 05:22:17","38.20","959688","225404"
"","7485991989334979","7485991989134280","41","11101","2022-05-16","2022-05-16 05:25:47","143.82","417123","226668"
"","7486542271632755","7486542271132033","41","11101","2022-05-16","2022-05-16 05:26:22","128.75","679332","226914"
"","7482697819530278","7482697819230006","78","11590","2022-05-16","2022-05-16 05:29:07","54.31","063961","213914"
"","7486498313030990","7486498312730051","27","10473","2022-05-16","2022-05-16 05:30:04","52.40","312290","209254"
"","7482176444832024","7482176444532812","50","07047","2022-05-16","2022-05-16 05:30:29","60.05","817072","228471"
"","7481878428035048","7481878427535259","22","11206","2022-05-16","2022-05-16 05:30:50","48.72","851933","210022"
"","7486427685930413","7486427685730467","11","11237","2022-05-16","2022-05-16 05:33:41","65.88","881907","214676"
"","7482988367133486","7482988366833986","27","10473","2022-05-16","2022-05-16 05:34:47","211.86","866733","210099"
"","7486231643030025","7486231642730055","11","11237","2022-05-16","2022-05-16 05:35:19","141.36","625622","214936"
"","7486470145531361","7486470145231857","42","10451","2022-05-16","2022-05-16 05:35:38","87.82","969187","224639"
"","","","25","11212","2022-05-16","2022-05-16 05:37:20","-4.89","771502","184370"
"","","","49","11207","2022-05-16","2022-05-16 05:37:26","-2.23","927343","185132"
"","","","76","11362","2022-05-16","2022-05-16 05:37:37","-20.03","063777","185574"
"","","","72","10451","2022-05-16","2022-05-16 05:37:51","-37.99","974469","185366"
"","7486264158531885","7486264158331355","41","11101","2022-05-16","2022-05-16 05:38:43","60.37","646267","232115"
"","7483987471834004","7483987471434236","22","11206","2022-05-16","2022-05-16 05:38:59","231.79","291438","211854"
"","7486554511833382","7486554511633136","30","10456","2022-05-16","2022-05-16 05:39:21","25.91","903428","221830"
"","7486598410130960","7486598409830038","41","11101","2022-05-16","2022-05-16 05:39:53","114.84","845215","208287"
"","7486619950133003","7486619949833765","14","07093","2022-05-16","2022-05-16 05:41:39","67.60","349693","211617"
"","7486647172730491","7486647172430579","76","11362","2022-05-16","2022-05-16 05:41:52","81.67","546204","219559"
"","7486758984132046","7486758983832380","78","11590","2022-05-16","2022-05-16 05:41:54","49.02","282882","216236"
"","7486489768030916","7486489767730976","25","11212","2022-05-16","2022-05-16 05:42:31","245.63","490035","212651"
"","7482412928831911","7482412928531964","75","11231","2022-05-16","2022-05-16 05:42:55","245.77","031573","223144"
"","7485335021033739","7485335020833412","42","10451","2022-05-16","2022-05-16 05:44:16","18.50","856313","229495"
"","7486404181933054","7486404181633783","76","11362","2022-05-16","2022-05-16 05:44:36","141.63","163757","220836"
"","7483094161034528","7483094160634648","22","11206","2022-05-16","2022-05-16 05:46:09","95.57","663958","213619"
"","7482001586732271","7482001586332988","76","11362","2022-05-16","2022-05-16 05:46:47","106.46","867384","222051"
"","7481794342533722","7481794342133752","42","10451","2022-05-16","2022-05-16 05:48:01","142.85","386790","232059"
"","7484286144834990","7484286144334239","22","11206","2022-05-16","2022-05-16 05:48:45","75.66","401199","214168"
"","7486503393733876","7486503393533618","25","11212","2022-05-16","2022-05-16 05:48:45","179.77","768476","214169"
"","7486562087533441","7486562087233197","11","11237","2022-05-16","2022-05-16 05:48:48","143.65","685275","217701"
"","7486703976335605","7486703976035479","30","10456","2022-05-16","2022-05-16 05:49:46","162.62","763891","224655"
"","7484482640831250","7484482640631659","22","11206","2022-05-16","2022-05-16 05:49:48","23.75","577045","214424"
"","7483780042830237","7483780042630172","47","07022","2022-05-16","2022-05-16 05:50:51","129.64","862987","215459"
"","7486476068033627","7486476067633366","76","11362","2022-05-16","2022-05-16 05:50:53","89.23","853810","225126"
"","7485493036434986","7485493036234267","46","07202","2022-05-16","2022-05-16 05:51:04","100.04","174171","214713"
"","7481855652335347","7481855652035547","47","07022","2022-05-16","2022-05-16 05:52:13","57.86","834592","215928"
"","7484253710731746","7484253710431144","46","07202","2022-05-16","2022-05-16 05:52:32","31.74","642479","215167"
"","7479825312133326","7479825311833027","11","11237","2022-05-16","2022-05-16 05:52:47","267.06","164858","218496"
"","7482295481433319","7482295481133613","47","07022","2022-05-16","2022-05-16 05:52:55","47.78","841040","216177"
"","7486554302532859","7486554302332140","30","10456","2022-05-16","2022-05-16 05:53:29","182.71","735183","225384"
"","7486438121234339","7486438121034682","11","11237","2022-05-16","2022-05-16 05:53:45","27.55","134573","218732"
"","7474337275730132","7474337275330811","49","11207","2022-05-16","2022-05-16 05:54:38","39.08","170924","218802"
"","7481187203235577","7481187202835360","27","10473","2022-05-16","2022-05-16 05:55:54","225.47","907412","214938"
"","7486743959432857","7486743959132183","46","07202","2022-05-16","2022-05-16 05:58:00","47.40","167942","216687"
"","7486488646731527","7486488646331024","40","10550","2022-05-16","2022-05-16 05:58:31","157.72","624394","226981"
"","7486811606733416","7486811606333212","72","10451","2022-05-16","2022-05-16 05:58:43","41.51","129206","214637"
"","7486759403030812","7486759402730914","75","11231","2022-05-16","2022-05-16 05:59:31","68.06","612234","227208"
"","7479847083831946","7479847083531351","49","11207","2022-05-16","2022-05-16 06:00:13","171.63","989521","320073"
"","7486687479831623","7486687479631148","76","11362","2022-05-16","2022-05-16 06:01:18","26.64","760007","330283"
"","7481544460533694","7481544460033568","75","11231","2022-05-16","2022-05-16 06:01:30","125.22","727719","327699"
"","7486239020631736","7486239020431204","75","11231","2022-05-16","2022-05-16 06:03:23","56.70","829196","328022"
"","7475092248830948","7475092248630764","75","11231","2022-05-16","2022-05-16 06:04:03","96.12","411210","328238"
"","7486757972130794","7486757971930896","41","11101","2022-05-16","2022-05-16 06:04:08","106.41","185165","320567"
"","7482787862431468","7482787862131653","75","11231","2022-05-16","2022-05-16 06:05:06","29.16","279913","328492"
"","7482133158835306","7482133158335628","75","11231","2022-05-16","2022-05-16 06:06:00","68.47","803526","328730"
"","7486796141130251","7486796140730359","25","11212","2022-05-16","2022-05-16 06:06:03","59.92","674062","319027"
"","7486595535234773","7486595534834136","41","11101","2022-05-16","2022-05-16 06:06:29","90.86","980330","321857"
"","7486805431130379","7486805430830489","49","11207","2022-05-16","2022-05-16 06:08:13","69.48","352253","322048"
"","7486458693432981","7486458693232251","27","10473","2022-05-16","2022-05-16 06:08:22","76.92","412239","318283"
"","7486795965431980","7486795965031534","75","11231","2022-05-16","2022-05-16 06:08:31","107.44","128735","329247"
"","7486752668533601","7486752668233387","22","11206","2022-05-16","2022-05-16 06:10:15","50.16","753313","320527"
"","7483433013835941","7483433013535626","47","07022","2022-05-16","2022-05-16 06:13:31","290.06","161712","324621"
"","7486835375730799","7486835375430919","27","10473","2022-05-16","2022-05-16 06:13:52","170.06","971494","320020"
"","7486142684434540","7486142684134854","47","07022","2022-05-16","2022-05-16 06:14:36","22.27","457859","324941"
"","7482906556831097","7482906556431311","47","07022","2022-05-16","2022-05-16 06:15:36","67.37","547075","325387"
"","7486705241133993","7486705240733768","78","11590","2022-05-16","2022-05-16 06:16:49","159.76","558715","324950"
"","7486687369430955","7486687369230048","11","11237","2022-05-16","2022-05-16 06:17:01","185.05","988124","325130"
"","7486434799834312","7486434799534655","49","11207","2022-05-16","2022-05-16 06:17:42","39.74","343201","325195"
"","7483421931532295","7483421931432396","40","10550","2022-05-16","2022-05-16 06:18:20","127.41","873733","331342"
"","7486693632531694","7486693632231219","11","11237","2022-05-16","2022-05-16 06:18:21","127.26","711888","325404"
"","7486411092132577","7486411091632841","49","11207","2022-05-16","2022-05-16 06:20:53","46.70","510701","325929"
"","7486730321735932","7486730321235811","13","11368","2022-05-16","2022-05-16 06:20:56","56.36","422989","310072"
"","7486900788031472","7486900787731047","27","10473","2022-05-16","2022-05-16 06:21:26","63.98","055476","322131"
"","7486391807832434","7486391807532697","27","10473","2022-05-16","2022-05-16 06:23:55","44.22","733122","322886"
"","7486595334631595","7486595334331102","13","11368","2022-05-16","2022-05-16 06:24:14","97.21","875308","313096"
"","7486429212833241","7486429212533974","22","11206","2022-05-16","2022-05-16 06:24:20","36.52","988638","325890"
"","7485171978531378","7485171978131807","49","11207","2022-05-16","2022-05-16 06:24:27","126.72","606063","326724"
"","7486773987335495","7486773986935385","11","11237","2022-05-16","2022-05-16 06:24:43","56.24","385282","326747"
"","7483725144131658","7483725143831002","22","11206","2022-05-16","2022-05-16 06:25:53","62.90","318486","326414"
"","7481194005932398","7481194005532609","13","11368","2022-05-16","2022-05-16 06:25:56","30.78","542607","314696"
"","7486719861133172","7486719860833949","27","10473","2022-05-16","2022-05-16 06:25:57","74.66","223769","324628"
"","7486924627233124","7486924626933944","27","10473","2022-05-16","2022-05-16 06:26:33","76.04","772779","324695"
"","7486811699831194","7486811699531753","76","11362","2022-05-16","2022-05-16 06:26:40","122.67","881215","319825"
"","7483092597330574","7483092597030387","25","11212","2022-05-16","2022-05-16 06:26:49","181.61","415979","326690"
"","7479360637234136","7479360636934009","22","11206","2022-05-16","2022-05-16 06:27:40","74.39","794914","326981"
"","7486733582730522","7486733582330621","25","11212","2022-05-16","2022-05-16 06:27:55","16.17","774802","327175"
"","7486787411734027","7486787411434424","11","11237","2022-05-16","2022-05-16 06:28:12","151.18","391214","327684"
"","7486955353435110","7486955353135051","50","07047","2022-05-16","2022-05-16 06:28:36","24.60","277436","311341"
"","7473618223334599","7473618222934343","36","06606","2022-05-16","2022-05-16 06:29:23","58.92","789531","327957"
"","7486549078033329","7486549077733083","18","10451","2022-05-16","2022-05-16 06:29:25","179.38","726467","330794"
"","7486479233635407","7486479233335245","36","06606","2022-05-16","2022-05-16 06:32:14","37.24","470218","328529"
"","7481786277335094","7481786276935245","25","11212","2022-05-16","2022-05-16 06:32:25","457.94","470730","328715"
"","7486955101030660","7486955100830809","41","11101","2022-05-16","2022-05-16 06:32:36","40.84","697824","313423"
"","7486970191831576","7486970191631166","48","11717","2022-05-16","2022-05-16 06:33:33","46.36","635391","324622"
"","7486785033335642","7486785033035535","42","10451","2022-05-16","2022-05-16 06:33:42","192.05","440523","314705"
"","7486429422935998","7486429422635825","76","11362","2022-05-16","2022-05-16 06:34:17","92.51","489010","324945"
"","7486839287833808","7486839287333608","27","10473","2022-05-16","2022-05-16 06:35:25","59.90","600727","327726"
"","7482552036034434","7482552035734390","76","11362","2022-05-16","2022-05-16 06:36:28","72.39","468713","326146"
"","7482575985233232","7482575984933636","76","11362","2022-05-16","2022-05-16 06:36:30","141.02","764124","326156"
"","7485925771030838","7485925770730848","35","08611","2022-05-16","2022-05-16 06:38:12","47.21","297969","328524"
"","7483912731633813","7483912731433438","76","11362","2022-05-16","2022-05-16 06:38:35","58.34","031988","327216"
"","7486861959334073","7486861958934485","47","07022","2022-05-16","2022-05-16 06:39:25","205.54","367651","311386"
"","7482201613333083","7482201613033341","76","11362","2022-05-16","2022-05-16 06:39:38","47.13","328945","327730"
"","7487106813735793","7487106813335782","13","11368","2022-05-16","2022-05-16 06:39:48","34.54","003090","327192"
"","7482427086832723","7482427086532611","22","11206","2022-05-16","2022-05-16 06:39:57","239.60","842407","331329"
"","7486342832030727","7486342831830769","35","08611","2022-05-16","2022-05-16 06:40:38","38.60","978695","329299"
"","7486680966831534","7486680966531059","11","11237","2022-05-16","2022-05-16 06:42:06","297.22","897722","331098"
"","7486538501235948","7486538500835793","13","11368","2022-05-16","2022-05-16 06:43:28","141.96","726449","330322"
"","7487101701034087","7487101700734565","76","11362","2022-05-16","2022-05-16 06:44:47","15.58","083457","330559"
"","7486454930435184","7486454930135016","13","11368","2022-05-16","2022-05-16 06:45:58","60.86","739651","309033"
"","7486945654232729","7486945653832112","30","10456","2022-05-16","2022-05-16 06:46:06","52.43","279488","312902"
"","7487101701034087","7487101700734565","76","11362","2022-05-16","2022-05-16 06:46:09","15.58","886173","331318"
"","7486909372231602","7486909371931177","40","10550","2022-05-16","2022-05-16 06:46:53","41.86","072216","314147"
"","7486928195635660","7486928195335596","41","11101","2022-05-16","2022-05-16 06:47:13","274.00","323265","321556"
"","7486692431335456","7486692430835327","30","10456","2022-05-16","2022-05-16 06:47:23","53.00","159247","313172"
"","7487024531132088","7487024530732498","13","11368","2022-05-16","2022-05-16 06:47:23","164.92","789445","310335"
"","7486961982433712","7486961982033536","50","07047","2022-05-16","2022-05-16 06:47:26","38.87","371459","321599"
"","7486601098933817","7486601098433576","41","11101","2022-05-16","2022-05-16 06:47:44","87.28","954749","321819"
"","7487063375133487","7487063374733341","13","11368","2022-05-16","2022-05-16 06:48:24","51.21","750134","311369"
